Status,Sharpe,Fitness,Returns(%),Drawdown(%),Margin(bps),Turnover(%),Universe,Delay,Decay,Neutralization,FailedChecks,Code
SUCCESS,1.7780,1.8307,2.6313,-5.8489,20.9714,21.5915,TOP1000,0,3,SUBINDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(ts_backfill(mdl177_2_earningmomentumfactor400_surp, 60)), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 3))"
ERROR,,,,,,,TOP1000,0,3,SUBINDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_backfill(mdl177_2_5yearrelativevaluefactor_rel5yfcfp, 60)) * rank(ts_backfill(social_sentiment_buzz, 60))), bucket(rank(cap), range=""0, 1, 0.1"")), 5))"
ERROR,,,,,,,TOP1000,0,3,INDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_backfill(credit_risk_premium_indicator, 60)) * rank(ts_backfill(social_sentiment_buzz, 60))), bucket(rank(cap), range=""0, 1, 0.1"")), 5))"
ERROR,,,,,,,TOP3000,0,3,INDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_backfill(mdl177_2_deepvaluemodel_dvm_composite, 60)) * rank(ts_backfill(social_sentiment_buzz, 60))), bucket(rank(cap), range=""0, 1, 0.1"")), 5))"
ERROR,,,,,,,TOP3000,0,5,SUBINDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_backfill(liquidity_cash_to_liabilities_ratio, 60)) * rank(ts_backfill(social_sentiment_buzz, 60))), bucket(rank(cap), range=""0, 1, 0.1"")), 5))"
ERROR,,,,,,,TOP3000,0,10,SUBINDUSTRY,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_backfill(mdl177_2_earningmomentumfactor400_surp, 60)), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 3))"
ERROR,,,,,,,TOP1000,0,5,SUBINDUSTRY,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_backfill(mdl177_2_deepvaluefactor_fwdep, 60)), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 3))"
FAILED,-0.0800,-0.0200,-0.6600,29.8800,-5.7500,2.2800,TOP3000,0,2,INDUSTRY,LOW_SHARPE;LOW_FITNESS;SELF_CORRELATION,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_backfill(credit_facility_max_borrowing_2, 60)), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 3))"
FAILED,0.0400,0.0100,0.2400,18.4700,0.3600,13.0600,TOP3000,0,3,SUBINDUSTRY,LOW_SHARPE;LOW_FITNESS;SELF_CORRELATION,"-1 * normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(credit_facility_max_borrowing_2, 60), 90)) - rank(ts_rank(returns, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
ERROR,,,,,,,TOP1000,0,8,SUBINDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(ts_delta(rank(ts_backfill(mdl177_2_earningmomentumfactor400_surp, 60)), 20)), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
ERROR,,,,,,,TOP3000,0,2,SUBINDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(ts_delta(rank(ts_backfill(mdl177_2_deepvaluefactor_ttmocfp, 60)), 20)), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
ERROR,,,,,,,TOP1000,0,2,INDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(ts_delta(rank(ts_backfill(distress_risk_measure, 60)), 20)), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
ERROR,,,,,,,TOP3000,0,10,INDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(ts_delta(rank(ts_backfill(mdl177_2_deepvaluefactor_bp, 60)), 20)), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
ERROR,,,,,,,TOP1000,0,8,SUBINDUSTRY,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(fnd6_cptnewqv1300_dlttq, 60), 90)) - rank(ts_rank(close, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 3))"
FAILED,-0.3500,-0.1400,-2.3400,20.3400,-2.9900,15.6500,TOP1000,0,5,INDUSTRY,LOW_SHARPE;LOW_FITNESS;SELF_CORRELATION,"-1 * normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(domestic_ebit_value, 60), 90)) - rank(ts_rank(close, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 3))"
SUCCESS,0.2900,0.0800,0.9700,8.7100,5.8100,3.3500,TOP3000,0,10,SUBINDUSTRY,LOW_SHARPE;LOW_FITNESS,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_rank(ts_backfill(domestic_ebit_value, 60), 90)), bucket(rank(cap), range=""0, 1, 0.1"")), 10))"
ERROR,,,,,,,TOP3000,0,10,SUBINDUSTRY,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_rank(ts_backfill(current_liabilities_to_price_v1, 60), 90)), bucket(rank(cap), range=""0, 1, 0.1"")), 10))"
ERROR,,,,,,,TOP3000,0,3,INDUSTRY,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_rank(ts_backfill(mdl177_2_earningsqualityfactor_chgsgasale, 60), 90)), industry), 8))"
ERROR,,,,,,,TOP1000,0,2,SUBINDUSTRY,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_rank(ts_backfill(mdl177_2_deepvaluefactor_ttmcfp, 60), 90)), industry), 8))"
ERROR,,,,,,,TOP1000,0,2,SUBINDUSTRY,,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_rank(ts_backfill(mdl177_2_deepvaluefactor_indidivy, 60), 90)), industry), 8))"
SUCCESS,-0.2500,-0.0700,-1.1200,11.8800,-4.1500,5.4000,TOP1000,0,10,INDUSTRY,LOW_SHARPE;LOW_FITNESS,"-1 * normalize(ts_decay_linear(group_neutralize(rank(ts_rank(ts_backfill(assets, 60), 90)), industry), 8))"
ERROR,,,,,,,TOP1000,0,3,SUBINDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(earnings_shortfall_metric, 60), 90)) - rank(ts_rank(vwap, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 5))"
ERROR,,,,,,,TOP1000,0,10,SUBINDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(anl4_ptp_flag, 60), 90)) - rank(ts_rank(vwap, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 5))"
ERROR,,,,,,,TOP3000,0,5,INDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(mdl177_2_garpanalystmodel_qgp_relpegy, 60), 90)) - rank(ts_rank(vwap, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 5))"
ERROR,,,,,,,TOP1000,0,3,INDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(mdl177_2_garpmodel_gpm_composite, 60), 90)) - rank(ts_rank(vwap, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 5))"
ERROR,,,,,,,TOP1000,0,5,SUBINDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(mdl177_2_earningmomentumfactor400_surp, 60), 90)) - rank(ts_rank(returns, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
ERROR,,,,,,,TOP1000,0,5,SUBINDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(mdl177_2_earningsqualityfactor_uar, 60), 90)) - rank(ts_rank(returns, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
ERROR,,,,,,,TOP1000,0,8,SUBINDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(mdl177_2_garpanalystmodel_qgp_valuation, 60), 90)) - rank(ts_rank(returns, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
FAILED,0.5800,0.2700,3.0200,8.5500,4.4300,13.6500,TOP3000,0,8,INDUSTRY,LOW_SHARPE;LOW_FITNESS;SELF_CORRELATION,"normalize(ts_decay_linear(group_neutralize(rank(rank(ts_rank(ts_backfill(ebit, 60), 90)) - rank(ts_rank(returns, 20))), bucket(rank(ts_mean(volume, 20)), range=""0, 1, 0.1"")), 10))"
ERROR,,,,,,,TOP3000,0,8,SUBINDUSTRY,,"normalize(ts_decay_linear(group_neutralize(rank(ts_backfill(mdl177_2_earningmomentumfactor400_surp, 60)), bucket(rank(cap), range=""0, 1, 0.1"")), 3))"
